id,label,text_a,text_b
136,Negative,location - 1 - general,"location - 1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands"
137,None,location - 1 - price,"location - 1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands"
138,None,location - 1 - safety,"location - 1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands"
139,None,location - 1 - transit location,"location - 1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands"
140,None,location - 1 - general,i now live in location - 1 with a lovely set of neighbours from all sorts of ethnic backgrounds
141,None,location - 1 - price,i now live in location - 1 with a lovely set of neighbours from all sorts of ethnic backgrounds
142,None,location - 1 - safety,i now live in location - 1 with a lovely set of neighbours from all sorts of ethnic backgrounds
143,None,location - 1 - transit location,i now live in location - 1 with a lovely set of neighbours from all sorts of ethnic backgrounds
144,None,location - 1 - general,i used to live in location - 1 a few years ago
145,None,location - 1 - price,i used to live in location - 1 a few years ago
146,None,location - 1 - safety,i used to live in location - 1 a few years ago
147,None,location - 1 - transit location,i used to live in location - 1 a few years ago
148,Positive,location - 1 - general,"location - 1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area"
149,None,location - 1 - price,"location - 1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area"
150,None,location - 1 - safety,"location - 1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area"
151,None,location - 1 - transit location,"location - 1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area"
152,Positive,location - 1 - general,i love it around location - 1
153,None,location - 1 - price,i love it around location - 1
154,None,location - 1 - safety,i love it around location - 1
155,None,location - 1 - transit location,i love it around location - 1
156,Positive,location - 1 - general,around location - 1 is probably the best choice
157,None,location - 1 - price,around location - 1 is probably the best choice
158,None,location - 1 - safety,around location - 1 is probably the best choice
159,None,location - 1 - transit location,around location - 1 is probably the best choice
160,Positive,location - 1 - general,"location - 1 is pretty good the high street has a good general selection of amenities , its safe ( its the most jewish of london suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections"
161,None,location - 1 - price,"location - 1 is pretty good the high street has a good general selection of amenities , its safe ( its the most jewish of london suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections"
162,Positive,location - 1 - safety,"location - 1 is pretty good the high street has a good general selection of amenities , its safe ( its the most jewish of london suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections"
163,Positive,location - 1 - transit location,"location - 1 is pretty good the high street has a good general selection of amenities , its safe ( its the most jewish of london suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections"
164,Positive,location - 1 - general,yes location - 1 is okay
165,None,location - 1 - price,yes location - 1 is okay
166,None,location - 1 - safety,yes location - 1 is okay
167,None,location - 1 - transit location,yes location - 1 is okay
168,None,location - 1 - general,"have a look at this link and you ' ll see what i ' m talking about : most younger people like to live nearer the london , so in zones 2 or 3 . if you live in a not so nice area of zone 2 ( eg location - 2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of zone 2 ( eg location - 1 ) you ' d probably be paying double that at least have a look at websites such as gumtree"
169,None,location - 1 - price,"have a look at this link and you ' ll see what i ' m talking about : most younger people like to live nearer the london , so in zones 2 or 3 . if you live in a not so nice area of zone 2 ( eg location - 2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of zone 2 ( eg location - 1 ) you ' d probably be paying double that at least have a look at websites such as gumtree"
170,None,location - 1 - safety,"have a look at this link and you ' ll see what i ' m talking about : most younger people like to live nearer the london , so in zones 2 or 3 . if you live in a not so nice area of zone 2 ( eg location - 2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of zone 2 ( eg location - 1 ) you ' d probably be paying double that at least have a look at websites such as gumtree"
171,None,location - 1 - transit location,"have a look at this link and you ' ll see what i ' m talking about : most younger people like to live nearer the london , so in zones 2 or 3 . if you live in a not so nice area of zone 2 ( eg location - 2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of zone 2 ( eg location - 1 ) you ' d probably be paying double that at least have a look at websites such as gumtree"
172,Positive,location - 1 - general,may i suggest you look at location - 1
173,None,location - 1 - price,may i suggest you look at location - 1
174,None,location - 1 - safety,may i suggest you look at location - 1
175,None,location - 1 - transit location,may i suggest you look at location - 1
176,None,location - 1 - general,"my husband was born and educated in location - 1 - i was n't born there , but moved out of london and received my secondary ed"
177,None,location - 1 - price,"my husband was born and educated in location - 1 - i was n't born there , but moved out of london and received my secondary ed"
178,None,location - 1 - safety,"my husband was born and educated in location - 1 - i was n't born there , but moved out of london and received my secondary ed"
179,None,location - 1 - transit location,"my husband was born and educated in location - 1 - i was n't born there , but moved out of london and received my secondary ed"
180,None,location - 1 - general,"i ' m in touch with a very nice family , but they live in location - 1 and this is the zone 4 of the london"
181,None,location - 1 - price,"i ' m in touch with a very nice family , but they live in location - 1 and this is the zone 4 of the london"
182,None,location - 1 - safety,"i ' m in touch with a very nice family , but they live in location - 1 and this is the zone 4 of the london"
183,None,location - 1 - transit location,"i ' m in touch with a very nice family , but they live in location - 1 and this is the zone 4 of the london"
184,None,location - 1 - general,i ca n't imagine that someone in e g location - 1 would think it worthwhile to go all the way to e g location - 2 to swim
185,None,location - 1 - price,i ca n't imagine that someone in e g location - 1 would think it worthwhile to go all the way to e g location - 2 to swim
186,None,location - 1 - safety,i ca n't imagine that someone in e g location - 1 would think it worthwhile to go all the way to e g location - 2 to swim
187,None,location - 1 - transit location,i ca n't imagine that someone in e g location - 1 would think it worthwhile to go all the way to e g location - 2 to swim
188,None,location - 1 - general,location - 1 is quite a long way out and is expensive
189,Negative,location - 1 - price,location - 1 is quite a long way out and is expensive
190,None,location - 1 - safety,location - 1 is quite a long way out and is expensive
191,Negative,location - 1 - transit location,location - 1 is quite a long way out and is expensive
192,None,location - 1 - general,you then go back to your hotel realising it was a big mistake and you should have spent a day in location - 1 instead
193,None,location - 1 - price,you then go back to your hotel realising it was a big mistake and you should have spent a day in location - 1 instead
194,None,location - 1 - safety,you then go back to your hotel realising it was a big mistake and you should have spent a day in location - 1 instead
195,None,location - 1 - transit location,you then go back to your hotel realising it was a big mistake and you should have spent a day in location - 1 instead
196,None,location - 1 - general,for example ; i live in location - 1 but i always say location - 2
197,None,location - 1 - price,for example ; i live in location - 1 but i always say location - 2
198,None,location - 1 - safety,for example ; i live in location - 1 but i always say location - 2
199,None,location - 1 - transit location,for example ; i live in location - 1 but i always say location - 2
200,Positive,location - 1 - general,if you go by tube then west location - 1 is nice
201,None,location - 1 - price,if you go by tube then west location - 1 is nice
202,None,location - 1 - safety,if you go by tube then west location - 1 is nice
203,None,location - 1 - transit location,if you go by tube then west location - 1 is nice
204,None,location - 1 - general,on the kent side there is location - 1
205,None,location - 1 - price,on the kent side there is location - 1
206,None,location - 1 - safety,on the kent side there is location - 1
207,None,location - 1 - transit location,on the kent side there is location - 1
208,None,location - 1 - general,"its london : london , borough : location - 1 , area : location - 2"
209,None,location - 1 - price,"its london : london , borough : location - 1 , area : location - 2"
210,None,location - 1 - safety,"its london : london , borough : location - 1 , area : location - 2"
211,None,location - 1 - transit location,"its london : london , borough : location - 1 , area : location - 2"
212,None,location - 1 - general,do n't even think about driving if working in location - 1
213,None,location - 1 - price,do n't even think about driving if working in location - 1
214,None,location - 1 - safety,do n't even think about driving if working in location - 1
215,Negative,location - 1 - transit location,do n't even think about driving if working in location - 1
216,Positive,location - 1 - general,location - 1 is the place for you
217,None,location - 1 - price,location - 1 is the place for you
218,None,location - 1 - safety,location - 1 is the place for you
219,None,location - 1 - transit location,location - 1 is the place for you
220,None,location - 1 - general,location - 1 is on the metropolitan line of the underground ; the trains are frequent and take 35 minutes to location - 1
221,None,location - 1 - price,location - 1 is on the metropolitan line of the underground ; the trains are frequent and take 35 minutes to location - 1
222,None,location - 1 - safety,location - 1 is on the metropolitan line of the underground ; the trains are frequent and take 35 minutes to location - 1
223,Positive,location - 1 - transit location,location - 1 is on the metropolitan line of the underground ; the trains are frequent and take 35 minutes to location - 1
224,None,location - 1 - general,at the heart of london is location - 1 area which is in accessible proximity to buckingham palace
225,None,location - 1 - price,at the heart of london is location - 1 area which is in accessible proximity to buckingham palace
226,None,location - 1 - safety,at the heart of london is location - 1 area which is in accessible proximity to buckingham palace
227,Positive,location - 1 - transit location,at the heart of london is location - 1 area which is in accessible proximity to buckingham palace
228,Positive,location - 1 - general,( highly recommended ) location - 1
229,None,location - 1 - price,( highly recommended ) location - 1
230,None,location - 1 - safety,( highly recommended ) location - 1
231,None,location - 1 - transit location,( highly recommended ) location - 1
232,Positive,location - 1 - general,in location - 2 location - 1 has some nice streets
233,None,location - 1 - price,in location - 2 location - 1 has some nice streets
234,None,location - 1 - safety,in location - 2 location - 1 has some nice streets
235,None,location - 1 - transit location,in location - 2 location - 1 has some nice streets
236,None,location - 1 - general,i lived in location - 1 for years and years and had no bother
237,None,location - 1 - price,i lived in location - 1 for years and years and had no bother
238,Positive,location - 1 - safety,i lived in location - 1 for years and years and had no bother
239,None,location - 1 - transit location,i lived in location - 1 for years and years and had no bother
240,None,location - 1 - general,"for example , location - 1 does n't have a cinema ( it used to , a long time ago"
241,None,location - 1 - price,"for example , location - 1 does n't have a cinema ( it used to , a long time ago"
242,None,location - 1 - safety,"for example , location - 1 does n't have a cinema ( it used to , a long time ago"
243,None,location - 1 - transit location,"for example , location - 1 does n't have a cinema ( it used to , a long time ago"
244,None,location - 1 - general,location - 1 is the posh part of location - 2 but it still has some horrible estates too
245,None,location - 1 - price,location - 1 is the posh part of location - 2 but it still has some horrible estates too
246,None,location - 1 - safety,location - 1 is the posh part of location - 2 but it still has some horrible estates too
247,None,location - 1 - transit location,location - 1 is the posh part of location - 2 but it still has some horrible estates too
248,None,location - 1 - general,paul o '  grady has put location - 1 dog ' s home on the map go to champdogs
249,None,location - 1 - price,paul o '  grady has put location - 1 dog ' s home on the map go to champdogs
250,None,location - 1 - safety,paul o '  grady has put location - 1 dog ' s home on the map go to champdogs
251,None,location - 1 - transit location,paul o '  grady has put location - 1 dog ' s home on the map go to champdogs
252,Positive,location - 1 - general,if you want slightly nicer look at homes in location - 1
253,None,location - 1 - price,if you want slightly nicer look at homes in location - 1
254,None,location - 1 - safety,if you want slightly nicer look at homes in location - 1
255,None,location - 1 - transit location,if you want slightly nicer look at homes in location - 1
256,None,location - 1 - general,the area around location - 2 is well served by the jubilee line which takes you directly to bond street ( near location - 1 )
257,None,location - 1 - price,the area around location - 2 is well served by the jubilee line which takes you directly to bond street ( near location - 1 )
258,None,location - 1 - safety,the area around location - 2 is well served by the jubilee line which takes you directly to bond street ( near location - 1 )
259,None,location - 1 - transit location,the area around location - 2 is well served by the jubilee line which takes you directly to bond street ( near location - 1 )
260,Negative,location - 1 - general,location - 1 is full of bnp and jobless people
261,None,location - 1 - price,location - 1 is full of bnp and jobless people
262,None,location - 1 - safety,location - 1 is full of bnp and jobless people
263,None,location - 1 - transit location,location - 1 is full of bnp and jobless people
264,None,location - 1 - general,i ' m only too glad my parents ( cockneys of the first order ) were not able to see london change so badly one really nice area is location - 2 or location - 1
265,None,location - 1 - price,i ' m only too glad my parents ( cockneys of the first order ) were not able to see london change so badly one really nice area is location - 2 or location - 1
266,None,location - 1 - safety,i ' m only too glad my parents ( cockneys of the first order ) were not able to see london change so badly one really nice area is location - 2 or location - 1
267,None,location - 1 - transit location,i ' m only too glad my parents ( cockneys of the first order ) were not able to see london change so badly one really nice area is location - 2 or location - 1
268,None,location - 1 - general,"location - 1 has connections to gatwick and luton airports , and lots of cool places that you might want to visit like brighton"
269,None,location - 1 - price,"location - 1 has connections to gatwick and luton airports , and lots of cool places that you might want to visit like brighton"
270,None,location - 1 - safety,"location - 1 has connections to gatwick and luton airports , and lots of cool places that you might want to visit like brighton"
271,Positive,location - 1 - transit location,"location - 1 has connections to gatwick and luton airports , and lots of cool places that you might want to visit like brighton"
272,Positive,location - 1 - general,"i used to live on location - 1 road and to be honest it was the nicest , most fun place ever"
273,None,location - 1 - price,"i used to live on location - 1 road and to be honest it was the nicest , most fun place ever"
274,None,location - 1 - safety,"i used to live on location - 1 road and to be honest it was the nicest , most fun place ever"
275,None,location - 1 - transit location,"i used to live on location - 1 road and to be honest it was the nicest , most fun place ever"
276,None,location - 1 - general,they are very different so it depends on what you think is better location - 1 area is very green with lots of families
277,None,location - 1 - price,they are very different so it depends on what you think is better location - 1 area is very green with lots of families
278,None,location - 1 - safety,they are very different so it depends on what you think is better location - 1 area is very green with lots of families
279,None,location - 1 - transit location,they are very different so it depends on what you think is better location - 1 area is very green with lots of families
280,None,location - 1 - general,i ' ve heard location - 1 is safe from a police officer but i have no idea how expensive it is
281,None,location - 1 - price,i ' ve heard location - 1 is safe from a police officer but i have no idea how expensive it is
282,Positive,location - 1 - safety,i ' ve heard location - 1 is safe from a police officer but i have no idea how expensive it is
283,None,location - 1 - transit location,i ' ve heard location - 1 is safe from a police officer but i have no idea how expensive it is
284,Positive,location - 1 - general,"i would say location - 1 , but being one of the nicer areas from your list the housing will be really expensive"
285,Negative,location - 1 - price,"i would say location - 1 , but being one of the nicer areas from your list the housing will be really expensive"
286,None,location - 1 - safety,"i would say location - 1 , but being one of the nicer areas from your list the housing will be really expensive"
287,None,location - 1 - transit location,"i would say location - 1 , but being one of the nicer areas from your list the housing will be really expensive"
288,None,location - 1 - general,location - 1 : )
289,None,location - 1 - price,location - 1 : )
290,None,location - 1 - safety,location - 1 : )
291,None,location - 1 - transit location,location - 1 : )
292,Positive,location - 1 - general,"location - 1 is gorgeous and has the blend of uber rich and middle class , v"
293,Negative,location - 1 - price,"location - 1 is gorgeous and has the blend of uber rich and middle class , v"
294,None,location - 1 - safety,"location - 1 is gorgeous and has the blend of uber rich and middle class , v"
295,None,location - 1 - transit location,"location - 1 is gorgeous and has the blend of uber rich and middle class , v"
296,None,location - 1 - general,"contrary to my advice , if you do go there , do n't move to location - 1"
297,None,location - 1 - price,"contrary to my advice , if you do go there , do n't move to location - 1"
298,None,location - 1 - safety,"contrary to my advice , if you do go there , do n't move to location - 1"
299,None,location - 1 - transit location,"contrary to my advice , if you do go there , do n't move to location - 1"
300,None,location - 1 - general,the absolute cheapest part of london to live in is the location - 1 area
301,Positive,location - 1 - price,the absolute cheapest part of london to live in is the location - 1 area
302,None,location - 1 - safety,the absolute cheapest part of london to live in is the location - 1 area
303,None,location - 1 - transit location,the absolute cheapest part of london to live in is the location - 1 area
304,Positive,location - 1 - general,location - 1 village near the common is far nicer if you can afford it
305,Negative,location - 1 - price,location - 1 village near the common is far nicer if you can afford it
306,None,location - 1 - safety,location - 1 village near the common is far nicer if you can afford it
307,None,location - 1 - transit location,location - 1 village near the common is far nicer if you can afford it
308,None,location - 1 - general,i come from south london and really want to no why so many people think cockneys only come from location - 1
309,None,location - 1 - price,i come from south london and really want to no why so many people think cockneys only come from location - 1
310,None,location - 1 - safety,i come from south london and really want to no why so many people think cockneys only come from location - 1
311,None,location - 1 - transit location,i come from south london and really want to no why so many people think cockneys only come from location - 1
312,Positive,location - 1 - general,"for the most part , location - 1 is a nice area"
313,None,location - 1 - price,"for the most part , location - 1 is a nice area"
314,None,location - 1 - safety,"for the most part , location - 1 is a nice area"
315,None,location - 1 - transit location,"for the most part , location - 1 is a nice area"
316,None,location - 1 - general,i live near the m25 next to the location - 1 bridge
317,None,location - 1 - price,i live near the m25 next to the location - 1 bridge
318,None,location - 1 - safety,i live near the m25 next to the location - 1 bridge
319,None,location - 1 - transit location,i live near the m25 next to the location - 1 bridge
320,None,location - 1 - general,"as much as i love location - 1 , i would n't say it ' s the best it also depends on what your looking for in an area"
321,None,location - 1 - price,"as much as i love location - 1 , i would n't say it ' s the best it also depends on what your looking for in an area"
322,None,location - 1 - safety,"as much as i love location - 1 , i would n't say it ' s the best it also depends on what your looking for in an area"
323,None,location - 1 - transit location,"as much as i love location - 1 , i would n't say it ' s the best it also depends on what your looking for in an area"
