id,label,text_a,text_b
25,none,what do you think of the price of it ?,"Not only was the food outstanding, but the little 'perks' were great."
26,none,what do you think of the anecdotes of it ?,"Not only was the food outstanding, but the little 'perks' were great."
27,positive,what do you think of the food of it ?,"Not only was the food outstanding, but the little 'perks' were great."
28,none,what do you think of the ambience of it ?,"Not only was the food outstanding, but the little 'perks' were great."
29,positive,what do you think of the service of it ?,"Not only was the food outstanding, but the little 'perks' were great."
30,negative,what do you think of the price of it ?,It is very overpriced and not very tasty.
31,none,what do you think of the anecdotes of it ?,It is very overpriced and not very tasty.
32,negative,what do you think of the food of it ?,It is very overpriced and not very tasty.
33,none,what do you think of the ambience of it ?,It is very overpriced and not very tasty.
34,none,what do you think of the service of it ?,It is very overpriced and not very tasty.
35,none,what do you think of the price of it ?,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
36,none,what do you think of the anecdotes of it ?,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
37,positive,what do you think of the food of it ?,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
38,none,what do you think of the ambience of it ?,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
39,positive,what do you think of the service of it ?,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
40,none,what do you think of the price of it ?,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
41,none,what do you think of the anecdotes of it ?,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
42,positive,what do you think of the food of it ?,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
43,none,what do you think of the ambience of it ?,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
44,none,what do you think of the service of it ?,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
45,none,what do you think of the price of it ?,Nevertheless the food itself is pretty good.
46,none,what do you think of the anecdotes of it ?,Nevertheless the food itself is pretty good.
47,positive,what do you think of the food of it ?,Nevertheless the food itself is pretty good.
48,none,what do you think of the ambience of it ?,Nevertheless the food itself is pretty good.
49,none,what do you think of the service of it ?,Nevertheless the food itself is pretty good.
50,none,what do you think of the price of it ?,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
51,none,what do you think of the anecdotes of it ?,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
52,none,what do you think of the food of it ?,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
53,neutral,what do you think of the ambience of it ?,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
54,none,what do you think of the service of it ?,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
55,none,what do you think of the price of it ?,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
56,none,what do you think of the anecdotes of it ?,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
57,negative,what do you think of the food of it ?,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
58,none,what do you think of the ambience of it ?,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
59,none,what do you think of the service of it ?,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
60,none,what do you think of the price of it ?,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
61,none,what do you think of the anecdotes of it ?,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
62,none,what do you think of the food of it ?,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
63,none,what do you think of the ambience of it ?,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
64,conflict,what do you think of the service of it ?,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
65,none,what do you think of the price of it ?,The design and atmosphere is just as good.
66,none,what do you think of the anecdotes of it ?,The design and atmosphere is just as good.
67,none,what do you think of the food of it ?,The design and atmosphere is just as good.
68,positive,what do you think of the ambience of it ?,The design and atmosphere is just as good.
69,none,what do you think of the service of it ?,The design and atmosphere is just as good.
70,none,what do you think of the price of it ?,He has visited Thailand and is quite expert on the cuisine.
71,none,what do you think of the anecdotes of it ?,He has visited Thailand and is quite expert on the cuisine.
72,positive,what do you think of the food of it ?,He has visited Thailand and is quite expert on the cuisine.
73,none,what do you think of the ambience of it ?,He has visited Thailand and is quite expert on the cuisine.
74,none,what do you think of the service of it ?,He has visited Thailand and is quite expert on the cuisine.
75,none,what do you think of the price of it ?,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
76,positive,what do you think of the anecdotes of it ?,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
77,none,what do you think of the food of it ?,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
78,none,what do you think of the ambience of it ?,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
79,none,what do you think of the service of it ?,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
80,none,what do you think of the price of it ?,The pizza is the best if you like thin crusted pizza.
81,none,what do you think of the anecdotes of it ?,The pizza is the best if you like thin crusted pizza.
82,positive,what do you think of the food of it ?,The pizza is the best if you like thin crusted pizza.
83,none,what do you think of the ambience of it ?,The pizza is the best if you like thin crusted pizza.
84,none,what do you think of the service of it ?,The pizza is the best if you like thin crusted pizza.
85,none,what do you think of the price of it ?,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
86,positive,what do you think of the anecdotes of it ?,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
87,none,what do you think of the food of it ?,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
88,none,what do you think of the ambience of it ?,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
89,none,what do you think of the service of it ?,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
90,none,what do you think of the price of it ?,"He can't help, they're bought up so fast."
91,neutral,what do you think of the anecdotes of it ?,"He can't help, they're bought up so fast."
92,none,what do you think of the food of it ?,"He can't help, they're bought up so fast."
93,none,what do you think of the ambience of it ?,"He can't help, they're bought up so fast."
94,none,what do you think of the service of it ?,"He can't help, they're bought up so fast."
95,none,what do you think of the price of it ?,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
96,none,what do you think of the anecdotes of it ?,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
97,none,what do you think of the food of it ?,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
98,negative,what do you think of the ambience of it ?,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
99,none,what do you think of the service of it ?,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
100,none,what do you think of the price of it ?,"i have eaten here a handful of times, for no reason besides sheer convenience."
101,neutral,what do you think of the anecdotes of it ?,"i have eaten here a handful of times, for no reason besides sheer convenience."
102,none,what do you think of the food of it ?,"i have eaten here a handful of times, for no reason besides sheer convenience."
103,none,what do you think of the ambience of it ?,"i have eaten here a handful of times, for no reason besides sheer convenience."
104,none,what do you think of the service of it ?,"i have eaten here a handful of times, for no reason besides sheer convenience."
105,none,what do you think of the price of it ?,Obviously run by folks who know a pie.
106,none,what do you think of the anecdotes of it ?,Obviously run by folks who know a pie.
107,none,what do you think of the food of it ?,Obviously run by folks who know a pie.
108,none,what do you think of the ambience of it ?,Obviously run by folks who know a pie.
109,positive,what do you think of the service of it ?,Obviously run by folks who know a pie.
110,none,what do you think of the price of it ?,We were very disappointed.
111,negative,what do you think of the anecdotes of it ?,We were very disappointed.
112,none,what do you think of the food of it ?,We were very disappointed.
113,none,what do you think of the ambience of it ?,We were very disappointed.
114,none,what do you think of the service of it ?,We were very disappointed.
115,positive,what do you think of the price of it ?,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
116,positive,what do you think of the anecdotes of it ?,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
117,none,what do you think of the food of it ?,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
118,none,what do you think of the ambience of it ?,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
119,none,what do you think of the service of it ?,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
120,none,what do you think of the price of it ?,I really liked this place.
121,positive,what do you think of the anecdotes of it ?,I really liked this place.
122,none,what do you think of the food of it ?,I really liked this place.
123,none,what do you think of the ambience of it ?,I really liked this place.
124,none,what do you think of the service of it ?,I really liked this place.
125,none,what do you think of the price of it ?,I will be going back very soon.
126,positive,what do you think of the anecdotes of it ?,I will be going back very soon.
127,none,what do you think of the food of it ?,I will be going back very soon.
128,none,what do you think of the ambience of it ?,I will be going back very soon.
129,none,what do you think of the service of it ?,I will be going back very soon.
130,none,what do you think of the price of it ?,"All the money went into the interior decoration, none of it went to the chefs."
131,none,what do you think of the anecdotes of it ?,"All the money went into the interior decoration, none of it went to the chefs."
132,negative,what do you think of the food of it ?,"All the money went into the interior decoration, none of it went to the chefs."
133,positive,what do you think of the ambience of it ?,"All the money went into the interior decoration, none of it went to the chefs."
134,none,what do you think of the service of it ?,"All the money went into the interior decoration, none of it went to the chefs."
135,none,what do you think of the price of it ?,The seats are uncomfortable if you are sitting against the wall on wooden benches.
136,none,what do you think of the anecdotes of it ?,The seats are uncomfortable if you are sitting against the wall on wooden benches.
137,none,what do you think of the food of it ?,The seats are uncomfortable if you are sitting against the wall on wooden benches.
138,negative,what do you think of the ambience of it ?,The seats are uncomfortable if you are sitting against the wall on wooden benches.
139,none,what do you think of the service of it ?,The seats are uncomfortable if you are sitting against the wall on wooden benches.
140,none,what do you think of the price of it ?,"I asked for seltzer with lime, no ice."
141,none,what do you think of the anecdotes of it ?,"I asked for seltzer with lime, no ice."
142,neutral,what do you think of the food of it ?,"I asked for seltzer with lime, no ice."
143,none,what do you think of the ambience of it ?,"I asked for seltzer with lime, no ice."
144,none,what do you think of the service of it ?,"I asked for seltzer with lime, no ice."
145,positive,what do you think of the price of it ?,It was pretty inexpensive too.
146,none,what do you think of the anecdotes of it ?,It was pretty inexpensive too.
147,none,what do you think of the food of it ?,It was pretty inexpensive too.
148,none,what do you think of the ambience of it ?,It was pretty inexpensive too.
149,none,what do you think of the service of it ?,It was pretty inexpensive too.
150,none,what do you think of the price of it ?,Will not be back.
151,negative,what do you think of the anecdotes of it ?,Will not be back.
152,none,what do you think of the food of it ?,Will not be back.
153,none,what do you think of the ambience of it ?,Will not be back.
154,none,what do you think of the service of it ?,Will not be back.
155,none,what do you think of the price of it ?,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
156,none,what do you think of the anecdotes of it ?,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
157,positive,what do you think of the food of it ?,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
158,none,what do you think of the ambience of it ?,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
159,none,what do you think of the service of it ?,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
160,none,what do you think of the price of it ?,My suggestion is to eat family style because you'll want to try the other dishes.
161,none,what do you think of the anecdotes of it ?,My suggestion is to eat family style because you'll want to try the other dishes.
162,neutral,what do you think of the food of it ?,My suggestion is to eat family style because you'll want to try the other dishes.
163,none,what do you think of the ambience of it ?,My suggestion is to eat family style because you'll want to try the other dishes.
164,none,what do you think of the service of it ?,My suggestion is to eat family style because you'll want to try the other dishes.
165,none,what do you think of the price of it ?,"Best of all is the warm vibe, the owner is super friendly and service is fast."
166,none,what do you think of the anecdotes of it ?,"Best of all is the warm vibe, the owner is super friendly and service is fast."
167,none,what do you think of the food of it ?,"Best of all is the warm vibe, the owner is super friendly and service is fast."
168,positive,what do you think of the ambience of it ?,"Best of all is the warm vibe, the owner is super friendly and service is fast."
169,positive,what do you think of the service of it ?,"Best of all is the warm vibe, the owner is super friendly and service is fast."
170,negative,what do you think of the price of it ?,This isn't a value joint.
171,none,what do you think of the anecdotes of it ?,This isn't a value joint.
172,none,what do you think of the food of it ?,This isn't a value joint.
173,none,what do you think of the ambience of it ?,This isn't a value joint.
174,none,what do you think of the service of it ?,This isn't a value joint.
175,none,what do you think of the price of it ?,Faan's got a great concept but a little rough on the delivery.
176,positive,what do you think of the anecdotes of it ?,Faan's got a great concept but a little rough on the delivery.
177,none,what do you think of the food of it ?,Faan's got a great concept but a little rough on the delivery.
178,none,what do you think of the ambience of it ?,Faan's got a great concept but a little rough on the delivery.
179,negative,what do you think of the service of it ?,Faan's got a great concept but a little rough on the delivery.
180,none,what do you think of the price of it ?,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
181,none,what do you think of the anecdotes of it ?,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
182,positive,what do you think of the food of it ?,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
183,positive,what do you think of the ambience of it ?,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
184,positive,what do you think of the service of it ?,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
185,positive,what do you think of the price of it ?,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
186,none,what do you think of the anecdotes of it ?,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
187,positive,what do you think of the food of it ?,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
188,none,what do you think of the ambience of it ?,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
189,none,what do you think of the service of it ?,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
190,none,what do you think of the price of it ?,Look foward to trying the Ruben upon returning.
191,positive,what do you think of the anecdotes of it ?,Look foward to trying the Ruben upon returning.
192,none,what do you think of the food of it ?,Look foward to trying the Ruben upon returning.
193,none,what do you think of the ambience of it ?,Look foward to trying the Ruben upon returning.
194,none,what do you think of the service of it ?,Look foward to trying the Ruben upon returning.
195,none,what do you think of the price of it ?,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
196,neutral,what do you think of the anecdotes of it ?,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
197,none,what do you think of the food of it ?,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
198,none,what do you think of the ambience of it ?,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
199,none,what do you think of the service of it ?,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
200,none,what do you think of the price of it ?,We usually go to the Chart House to celebrate a birthday or anniversary.
201,neutral,what do you think of the anecdotes of it ?,We usually go to the Chart House to celebrate a birthday or anniversary.
202,none,what do you think of the food of it ?,We usually go to the Chart House to celebrate a birthday or anniversary.
203,none,what do you think of the ambience of it ?,We usually go to the Chart House to celebrate a birthday or anniversary.
204,none,what do you think of the service of it ?,We usually go to the Chart House to celebrate a birthday or anniversary.
205,positive,what do you think of the price of it ?,this little place has a cute interior decor and affordable city prices.
206,none,what do you think of the anecdotes of it ?,this little place has a cute interior decor and affordable city prices.
207,none,what do you think of the food of it ?,this little place has a cute interior decor and affordable city prices.
208,positive,what do you think of the ambience of it ?,this little place has a cute interior decor and affordable city prices.
209,none,what do you think of the service of it ?,this little place has a cute interior decor and affordable city prices.
210,none,what do you think of the price of it ?,You'll adore it.
211,positive,what do you think of the anecdotes of it ?,You'll adore it.
212,none,what do you think of the food of it ?,You'll adore it.
213,none,what do you think of the ambience of it ?,You'll adore it.
214,none,what do you think of the service of it ?,You'll adore it.
215,positive,what do you think of the price of it ?,Two words: Free wine.
216,none,what do you think of the anecdotes of it ?,Two words: Free wine.
217,none,what do you think of the food of it ?,Two words: Free wine.
218,none,what do you think of the ambience of it ?,Two words: Free wine.
219,none,what do you think of the service of it ?,Two words: Free wine.
220,positive,what do you think of the price of it ?,The price is reasonable although the service is poor.
221,none,what do you think of the anecdotes of it ?,The price is reasonable although the service is poor.
222,none,what do you think of the food of it ?,The price is reasonable although the service is poor.
223,none,what do you think of the ambience of it ?,The price is reasonable although the service is poor.
224,negative,what do you think of the service of it ?,The price is reasonable although the service is poor.
225,none,what do you think of the price of it ?,"The quantity is also very good, you will come out satisfied."
226,none,what do you think of the anecdotes of it ?,"The quantity is also very good, you will come out satisfied."
227,positive,what do you think of the food of it ?,"The quantity is also very good, you will come out satisfied."
228,none,what do you think of the ambience of it ?,"The quantity is also very good, you will come out satisfied."
229,none,what do you think of the service of it ?,"The quantity is also very good, you will come out satisfied."
230,none,what do you think of the price of it ?,I have been to Roth's twice and both times were very disappointing.
231,negative,what do you think of the anecdotes of it ?,I have been to Roth's twice and both times were very disappointing.
232,none,what do you think of the food of it ?,I have been to Roth's twice and both times were very disappointing.
233,none,what do you think of the ambience of it ?,I have been to Roth's twice and both times were very disappointing.
234,none,what do you think of the service of it ?,I have been to Roth's twice and both times were very disappointing.
235,none,what do you think of the price of it ?,Worth visiting the 1st Ave spot because it is the original store.
236,positive,what do you think of the anecdotes of it ?,Worth visiting the 1st Ave spot because it is the original store.
237,none,what do you think of the food of it ?,Worth visiting the 1st Ave spot because it is the original store.
238,none,what do you think of the ambience of it ?,Worth visiting the 1st Ave spot because it is the original store.
239,none,what do you think of the service of it ?,Worth visiting the 1st Ave spot because it is the original store.
240,none,what do you think of the price of it ?,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
241,neutral,what do you think of the anecdotes of it ?,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
242,none,what do you think of the food of it ?,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
243,none,what do you think of the ambience of it ?,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
244,none,what do you think of the service of it ?,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
245,none,what do you think of the price of it ?,"Raga's is a romantic, cozy restaurant."
246,none,what do you think of the anecdotes of it ?,"Raga's is a romantic, cozy restaurant."
247,none,what do you think of the food of it ?,"Raga's is a romantic, cozy restaurant."
248,positive,what do you think of the ambience of it ?,"Raga's is a romantic, cozy restaurant."
249,none,what do you think of the service of it ?,"Raga's is a romantic, cozy restaurant."
250,none,what do you think of the price of it ?,The fried rice is amazing here.
251,none,what do you think of the anecdotes of it ?,The fried rice is amazing here.
252,positive,what do you think of the food of it ?,The fried rice is amazing here.
253,none,what do you think of the ambience of it ?,The fried rice is amazing here.
254,none,what do you think of the service of it ?,The fried rice is amazing here.
255,none,what do you think of the price of it ?,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
256,none,what do you think of the anecdotes of it ?,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
257,positive,what do you think of the food of it ?,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
258,none,what do you think of the ambience of it ?,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
259,none,what do you think of the service of it ?,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
260,none,what do you think of the price of it ?,it's a perfect place to have a amanzing indian food.
261,none,what do you think of the anecdotes of it ?,it's a perfect place to have a amanzing indian food.
262,positive,what do you think of the food of it ?,it's a perfect place to have a amanzing indian food.
263,none,what do you think of the ambience of it ?,it's a perfect place to have a amanzing indian food.
264,none,what do you think of the service of it ?,it's a perfect place to have a amanzing indian food.
265,none,what do you think of the price of it ?,The place is so cool and the service is prompt and curtious.
266,none,what do you think of the anecdotes of it ?,The place is so cool and the service is prompt and curtious.
267,none,what do you think of the food of it ?,The place is so cool and the service is prompt and curtious.
268,positive,what do you think of the ambience of it ?,The place is so cool and the service is prompt and curtious.
269,positive,what do you think of the service of it ?,The place is so cool and the service is prompt and curtious.
270,none,what do you think of the price of it ?,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
271,none,what do you think of the anecdotes of it ?,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
272,positive,what do you think of the food of it ?,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
273,none,what do you think of the ambience of it ?,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
274,none,what do you think of the service of it ?,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
275,positive,what do you think of the price of it ?,I just wonder how you can have such a delicious meal for such little money.
276,none,what do you think of the anecdotes of it ?,I just wonder how you can have such a delicious meal for such little money.
277,positive,what do you think of the food of it ?,I just wonder how you can have such a delicious meal for such little money.
278,none,what do you think of the ambience of it ?,I just wonder how you can have such a delicious meal for such little money.
279,none,what do you think of the service of it ?,I just wonder how you can have such a delicious meal for such little money.
280,none,what do you think of the price of it ?,The food was delicious but do not come here on a empty stomach.
281,none,what do you think of the anecdotes of it ?,The food was delicious but do not come here on a empty stomach.
282,conflict,what do you think of the food of it ?,The food was delicious but do not come here on a empty stomach.
283,none,what do you think of the ambience of it ?,The food was delicious but do not come here on a empty stomach.
284,none,what do you think of the service of it ?,The food was delicious but do not come here on a empty stomach.
285,none,what do you think of the price of it ?,The wine list is excellent.
286,none,what do you think of the anecdotes of it ?,The wine list is excellent.
287,positive,what do you think of the food of it ?,The wine list is excellent.
288,none,what do you think of the ambience of it ?,The wine list is excellent.
289,none,what do you think of the service of it ?,The wine list is excellent.
290,none,what do you think of the price of it ?,so garantuan that you can't fit them in a toaster.
291,none,what do you think of the anecdotes of it ?,so garantuan that you can't fit them in a toaster.
292,positive,what do you think of the food of it ?,so garantuan that you can't fit them in a toaster.
293,none,what do you think of the ambience of it ?,so garantuan that you can't fit them in a toaster.
294,none,what do you think of the service of it ?,so garantuan that you can't fit them in a toaster.
295,none,what do you think of the price of it ?,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
296,none,what do you think of the anecdotes of it ?,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
297,positive,what do you think of the food of it ?,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
298,none,what do you think of the ambience of it ?,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
299,none,what do you think of the service of it ?,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
300,none,what do you think of the price of it ?,They wouldnt even let me finish my glass of wine before offering another.
301,none,what do you think of the anecdotes of it ?,They wouldnt even let me finish my glass of wine before offering another.
302,none,what do you think of the food of it ?,They wouldnt even let me finish my glass of wine before offering another.
303,none,what do you think of the ambience of it ?,They wouldnt even let me finish my glass of wine before offering another.
304,positive,what do you think of the service of it ?,They wouldnt even let me finish my glass of wine before offering another.
305,none,what do you think of the price of it ?,I highly recommend the Sophia pizza.
306,positive,what do you think of the anecdotes of it ?,I highly recommend the Sophia pizza.
307,none,what do you think of the food of it ?,I highly recommend the Sophia pizza.
308,none,what do you think of the ambience of it ?,I highly recommend the Sophia pizza.
309,none,what do you think of the service of it ?,I highly recommend the Sophia pizza.
310,none,what do you think of the price of it ?,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
311,none,what do you think of the anecdotes of it ?,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
312,none,what do you think of the food of it ?,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
313,none,what do you think of the ambience of it ?,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
314,negative,what do you think of the service of it ?,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
315,none,what do you think of the price of it ?,This is a consistently great place to dine for lunch or dinner.
316,positive,what do you think of the anecdotes of it ?,This is a consistently great place to dine for lunch or dinner.
317,none,what do you think of the food of it ?,This is a consistently great place to dine for lunch or dinner.
318,none,what do you think of the ambience of it ?,This is a consistently great place to dine for lunch or dinner.
319,none,what do you think of the service of it ?,This is a consistently great place to dine for lunch or dinner.
320,none,what do you think of the price of it ?,"Nice atmosphere, the service was very pleasant and the desert was good."
321,none,what do you think of the anecdotes of it ?,"Nice atmosphere, the service was very pleasant and the desert was good."
322,positive,what do you think of the food of it ?,"Nice atmosphere, the service was very pleasant and the desert was good."
