id,text_a,label
91,Port conditions from Lloyds Shipping Intelligence Service --,"['NN', 'NNS', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', ':']"
92,"LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .","['NNP', ',', 'NNP', 'CD', ':', 'VBG', 'NN', 'IN', 'NNP', 'CC', 'NNP', 'RB', 'CD', 'NNS', '.']"
93,Israel plays down fears of war with Syria .,"['NNP', 'VBZ', 'RP', 'NNS', 'IN', 'NN', 'IN', 'NNP', '.']"
94,Colleen Siegel,"['NNP', 'NNP']"
95,JERUSALEM 1996-08-22,"['VBN', 'CD']"
96,Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .,"['NNP', 'POS', 'JJ', 'NN', 'NN', 'IN', 'NNP', 'VBD', 'IN', 'NNP', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'NNS', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
97,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .","['NNP', 'NNP', ',', 'WP', 'IN', 'NNP', 'POS', 'NN', 'TO', 'NNP', 'VBD', 'JJ', 'NNS', 'IN', 'NNP', ',', 'VBD', 'NNP', 'NNP', 'PRP', 'VBD', 'IN', 'NNP', 'VBD', 'TO', 'VB', 'RB', 'IN', 'NN', '.']"
98,""" It appears to me the Syrian priority is still to negotiate .","['""', 'PRP', 'VBZ', 'TO', 'PRP', 'DT', 'JJ', 'NN', 'VBZ', 'RB', 'TO', 'VB', '.']"
99,"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said .","['DT', 'NNPS', 'VBP', 'VBN', ',', 'PRP', 'VBP', 'RB', 'JJ', ',', 'CC', 'DT', 'JJ', 'NN', 'RB', 'IN', 'NNP', 'VBZ', 'IN', 'DT', 'VBZ', 'RB', 'DT', 'NN', 'IN', 'DT', 'NN', ',', '""', 'PRP', 'VBD', '.']"
100,Rabinovich is winding up his term as ambassador .,"['NN', 'VBZ', 'VBG', 'RP', 'PRP$', 'NN', 'IN', 'NN', '.']"
101,"He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .","['PRP', 'MD', 'VB', 'VBN', 'IN', 'NNP', 'NNP', ',', 'DT', 'JJ', 'JJ', 'NN', 'TO', 'NNP', 'CC', 'JJ', 'NNP', 'NN', 'NN', '.']"
102,"Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .","['NNP', 'IN', 'NNP', 'VBD', 'NNP', 'DT', 'NN', ',', 'IN', 'NNP', ',', 'VBG', 'PRP', 'VBD', 'VBN', 'TO', 'NN', 'CC', 'VBD', 'TO', 'VB', 'NNS', 'IN', 'NNS', '.']"
103,But it slammed Damascus for creating what it called a dangerous atmosphere .,"['CC', 'PRP', 'VBD', 'NNP', 'IN', 'VBG', 'WP', 'PRP', 'VBD', 'DT', 'JJ', 'NN', '.']"
104,Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .,"['NNP', 'VBD', 'NNP', 'IN', 'NNP', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'IN', 'JJ', 'NN', 'VBD', 'IN', 'NNP', 'VBD', 'RB', 'VB', 'VBN', 'DT', 'NN', '.']"
105,It said its arms purchases were for defensive purposes .,"['PRP', 'VBD', 'PRP$', 'NNS', 'NNS', 'VBD', 'IN', 'JJ', 'NNS', '.']"
